ASIGNACION,Camiones Asignados,Camiones Trabajando,Camiones Sin Salida,Camiones en Taller,Fecha
SS MANTENIMIENTO URBANO,2,1,0,1,2026-05-08
SS REDES Y SERV. CONCESIONADOS,11,2,2,7,2026-05-08
SS MANTENIMIENTO URBANO,2,1,0,1,2026-05-11
SS REDES Y SERV. CONCESIONADOS,11,5,0,6,2026-05-11
SS MANTENIMIENTO URBANO,2,1,0,1,2026-05-12
SS REDES Y SERV. CONCESIONADOS,11,5,0,6,2026-05-12
SS MANTENIMIENTO URBANO,2,1,0,1,2026-05-13
SS REDES Y SERV. CONCESIONADOS,11,5,0,6,2026-05-13
SS MANTENIMIENTO URBANO,2,1,0,1,2026-05-14
SS REDES Y SERV. CONCESIONADOS,11,4,0,7,2026-05-14
SS MANTENIMIENTO URBANO,2,0,1,1,2026-05-15
SS REDES Y SERV. CONCESIONADOS,11,3,0,8,2026-05-15
SS MANTENIMIENTO URBANO,2,1,0,1,2026-05-18
SS REDES Y SERV. CONCESIONADOS,11,4,0,7,2026-05-18
SS MANTENIMIENTO URBANO,2,1,0,1,2026-05-19
SS REDES Y SERV. CONCESIONADOS,11,4,0,7,2026-05-19
SS MANTENIMIENTO URBANO,2,1,0,1,2026-05-21
SS REDES Y SERV. CONCESIONADOS,11,3,0,8,2026-05-21
SS MANTENIMIENTO URBANO,2,1,0,1,2026-05-22
SS REDES Y SERV. CONCESIONADOS,11,2,1,8,2026-05-22
SS MANTENIMIENTO URBANO,2,1,0,1,2026-05-27
SS REDES Y SERV. CONCESIONADOS,11,4,0,7,2026-05-27
SS MANTENIMIENTO URBANO,2,1,0,1,2026-05-28
SS REDES Y SERV. CONCESIONADOS,11,4,0,7,2026-05-28
SS MANTENIMIENTO URBANO,2,1,0,1,2026-05-29
SS REDES Y SERV. CONCESIONADOS,11,4,0,7,2026-05-29
SS MANTENIMIENTO URBANO,2,1,0,1,2026-06-01
SS REDES Y SERV. CONCESIONADOS,11,3,1,7,2026-06-01
SS MANTENIMIENTO URBANO,2,1,0,1,2026-06-02
SS REDES Y SERV. CONCESIONADOS,11,4,0,7,2026-06-02
SS REDES Y SERV. CONCESIONADOS,11,3,0,8,2026-06-03
SS MANTENIMIENTO URBANO,2,1,0,1,2026-06-04
SS REDES Y SERV. CONCESIONADOS,11,4,0,7,2026-06-04
SS MANTENIMIENTO URBANO,1,0,0,1,2026-06-05
SS REDES Y SERV. CONCESIONADOS,11,4,0,7,2026-06-05
SS MANTENIMIENTO URBANO,1,0,0,1,2026-06-08
SS REDES Y SERV. CONCESIONADOS,11,4,1,6,2026-06-08
SS MANTENIMIENTO URBANO,2,1,0,1,2026-06-09
SS REDES Y SERV. CONCESIONADOS,11,4,0,7,2026-06-09
SS MANTENIMIENTO URBANO,2,1,0,1,2026-06-10
SS REDES Y SERV. CONCESIONADOS,11,5,0,6,2026-06-10
SS MANTENIMIENTO URBANO,2,1,0,1,2026-06-11
SS REDES Y SERV. CONCESIONADOS,11,5,0,6,2026-06-11
SS MANTENIMIENTO URBANO,2,1,0,1,2026-06-12
SS REDES Y SERV. CONCESIONADOS,11,5,0,6,2026-06-12
SS MANTENIMIENTO URBANO,2,1,0,1,2026-06-16
SS REDES Y SERV. CONCESIONADOS,11,4,0,7,2026-06-16
SS MANTENIMIENTO URBANO,2,1,0,1,2026-06-17
SS REDES Y SERV. CONCESIONADOS,11,5,0,6,2026-06-17
SS MANTENIMIENTO URBANO,2,1,0,1,2026-06-18
SS REDES Y SERV. CONCESIONADOS,11,5,0,6,2026-06-18
SS MANTENIMIENTO URBANO,2,1,0,1,2026-06-19
SS REDES Y SERV. CONCESIONADOS,11,6,0,5,2026-06-19
SS MANTENIMIENTO URBANO,2,1,0,1,2026-06-22
SS REDES Y SERV. CONCESIONADOS,11,5,1,5,2026-06-22
SS MANTENIMIENTO URBANO,2,1,0,1,2026-06-23
SS REDES Y SERV. CONCESIONADOS,11,6,0,5,2026-06-23
SS MANTENIMIENTO URBANO,2,1,0,1,2026-06-24
SS REDES Y SERV. CONCESIONADOS,11,6,0,5,2026-06-24
SS MANTENIMIENTO URBANO,2,1,0,1,2026-06-25
SS REDES Y SERV. CONCESIONADOS,11,5,1,5,2026-06-25
SS MANTENIMIENTO URBANO,2,1,0,1,2026-06-26
SS REDES Y SERV. CONCESIONADOS,11,6,0,5,2026-06-26
SS MANTENIMIENTO URBANO,2,1,0,1,2026-06-29
SS REDES Y SERV. CONCESIONADOS,11,6,0,5,2026-06-29
SS MANTENIMIENTO URBANO,2,1,0,1,2026-06-30
SS REDES Y SERV. CONCESIONADOS,11,5,0,6,2026-06-30
SS MANTENIMIENTO URBANO,2,1,0,1,2026-07-01
SS REDES Y SERV. CONCESIONADOS,11,4,1,6,2026-07-01
SS REDES Y SERV. CONCESIONADOS,11,6,0,5,2026-07-02
SS MANTENIMIENTO URBANO,2,1,0,1,2026-07-03
SS REDES Y SERV. CONCESIONADOS,11,6,1,4,2026-07-03
SS MANTENIMIENTO URBANO,2,1,0,1,2026-07-06
SS REDES Y SERV. CONCESIONADOS,11,5,1,5,2026-07-06
SS MANTENIMIENTO URBANO,2,1,0,1,2026-07-07
SS REDES Y SERV. CONCESIONADOS,11,4,1,6,2026-07-07
SS MANTENIMIENTO URBANO,2,1,0,1,2026-07-08
SS REDES Y SERV. CONCESIONADOS,11,5,1,5,2026-07-08
SS MANTENIMIENTO URBANO,2,1,0,1,2026-07-13
SS REDES Y SERV. CONCESIONADOS,11,5,1,5,2026-07-13
SS MANTENIMIENTO URBANO,2,1,0,1,2026-07-14
SS REDES Y SERV. CONCESIONADOS,11,6,0,5,2026-07-14
SS MANTENIMIENTO URBANO,2,1,0,1,2026-07-15
SS REDES Y SERV. CONCESIONADOS,11,6,0,5,2026-07-15
SS MANTENIMIENTO URBANO,2,1,0,1,2026-07-16
SS REDES Y SERV. CONCESIONADOS,11,5,0,6,2026-07-16
SS MANTENIMIENTO URBANO,2,1,0,1,2026-07-17
SS REDES Y SERV. CONCESIONADOS,11,6,0,5,2026-07-17
SS MANTENIMIENTO URBANO,2,1,0,1,2026-07-20
SS REDES Y SERV. CONCESIONADOS,11,6,0,5,2026-07-20
SS MANTENIMIENTO URBANO,2,1,0,1,2026-07-21
SS REDES Y SERV. CONCESIONADOS,11,6,0,5,2026-07-21
SS MANTENIMIENTO URBANO,2,1,0,1,2026-07-22
SS REDES Y SERV. CONCESIONADOS,11,7,0,4,2026-07-22
SS MANTENIMIENTO URBANO,2,1,0,1,2026-07-23
SS REDES Y SERV. CONCESIONADOS,11,6,1,4,2026-07-23
SS MANTENIMIENTO URBANO,2,1,0,1,2026-07-24
SS REDES Y SERV. CONCESIONADOS,11,4,3,4,2026-07-24
SS MANTENIMIENTO URBANO,2,1,0,1,2026-07-27
SS REDES Y SERV. CONCESIONADOS,11,6,1,4,2026-07-27
SS MANTENIMIENTO URBANO,2,1,0,1,2026-07-28
SS REDES Y SERV. CONCESIONADOS,11,6,1,4,2026-07-28
SS MANTENIMIENTO URBANO,2,1,0,1,2026-07-29
SS REDES Y SERV. CONCESIONADOS,11,6,1,4,2026-07-29
SS MANTENIMIENTO URBANO,2,1,0,1,2026-07-30
SS REDES Y SERV. CONCESIONADOS,11,5,1,5,2026-07-30
SS MANTENIMIENTO URBANO,2,1,0,1,2026-07-31
SS REDES Y SERV. CONCESIONADOS,11,6,1,4,2026-07-31
SS MANTENIMIENTO URBANO,2,1,0,1,2026-08-03
SS REDES Y SERV. CONCESIONADOS,11,6,1,4,2026-08-03
SS MANTENIMIENTO URBANO,2,1,0,1,2026-08-04
SS REDES Y SERV. CONCESIONADOS,11,6,1,4,2026-08-04
SS MANTENIMIENTO URBANO,2,1,0,1,2026-08-05
SS REDES Y SERV. CONCESIONADOS,11,3,4,4,2026-08-05
SS MANTENIMIENTO URBANO,2,0,1,1,2026-08-06
SS REDES Y SERV. CONCESIONADOS,11,3,4,4,2026-08-06
SS MANTENIMIENTO URBANO,2,1,0,1,2026-08-07
SS REDES Y SERV. CONCESIONADOS,11,6,1,4,2026-08-07
SS MANTENIMIENTO URBANO,2,1,0,1,2026-08-10
SS REDES Y SERV. CONCESIONADOS,11,6,1,4,2026-08-10
SS MANTENIMIENTO URBANO,2,1,0,1,2026-08-11
SS REDES Y SERV. CONCESIONADOS,11,6,1,4,2026-08-11
SS MANTENIMIENTO URBANO,2,1,0,1,2026-08-12
SS REDES Y SERV. CONCESIONADOS,11,6,1,4,2026-08-12
SS MANTENIMIENTO URBANO,2,1,0,1,2026-08-13
SS REDES Y SERV. CONCESIONADOS,11,6,0,5,2026-08-13
SS MANTENIMIENTO URBANO,2,1,0,1,2026-08-14
SS REDES Y SERV. CONCESIONADOS,11,6,0,5,2026-08-14
SS MANTENIMIENTO URBANO,2,1,0,1,2026-08-18
SS REDES Y SERV. CONCESIONADOS,11,5,0,6,2026-08-18
SS MANTENIMIENTO URBANO,2,1,0,1,2026-08-19
SS REDES Y SERV. CONCESIONADOS,11,4,0,7,2026-08-19
SS MANTENIMIENTO URBANO,2,1,0,1,2026-08-20
SS REDES Y SERV. CONCESIONADOS,11,5,0,6,2026-08-20
SS MANTENIMIENTO URBANO,2,1,0,1,2026-08-21
SS REDES Y SERV. CONCESIONADOS,11,5,0,6,2026-08-21
SS MANTENIMIENTO URBANO,2,1,0,1,2026-08-24
SS REDES Y SERV. CONCESIONADOS,11,5,0,6,2026-08-24
SS MANTENIMIENTO URBANO,2,1,0,1,2026-08-25
SS REDES Y SERV. CONCESIONADOS,11,4,1,6,2026-08-25
SS MANTENIMIENTO URBANO,2,1,0,1,2026-08-26
SS REDES Y SERV. CONCESIONADOS,11,5,1,5,2026-08-26
SS MANTENIMIENTO URBANO,2,0,0,2,2026-08-27
SS REDES Y SERV. CONCESIONADOS,11,4,2,5,2026-08-27
SS MANTENIMIENTO URBANO,2,1,0,1,2026-08-28
SS REDES Y SERV. CONCESIONADOS,11,6,1,4,2026-08-28
