ASIGNACION,Camiones Asignados,Camiones Trabajando,Camiones Sin Salida,Camiones en Taller,Fecha
Subse Servicios Urbanos,11,6,0,5,31/05/2026
Subse Ambiente,3,2,1,0,31/05/2026
Subse Cambio Climatico,10,5,1,4,31/05/2026
Temperley,7,6,0,1,31/05/2026
Turdera,2,2,0,0,31/05/2026
Villa Albertina,6,3,0,3,31/05/2026
Villa Centenario,4,3,0,1,31/05/2026
Villa Fiorito,6,4,0,2,31/05/2026
Villa Lamadrid,4,1,0,3,31/05/2026
Banfield,6,6,0,0,01/06/2026
DM Corte de Pasto,1,1,0,0,01/06/2026
DM Ecopunto,3,2,0,1,01/06/2026
DM Gestion de Plazas,2,2,0,0,01/06/2026
DM Mant. Hidrico,3,3,0,0,01/06/2026
Ingeniero Budge,5,5,0,0,01/06/2026
Llavallol,7,5,0,2,01/06/2026
Lomas,10,5,2,3,01/06/2026
Parque Baron,4,4,0,0,01/06/2026
San jose,8,6,0,2,01/06/2026
Santa Catalina,10,5,0,5,01/06/2026
Santa Marta,3,3,0,0,01/06/2026
Secretaria ,1,0,0,1,01/06/2026
Subse Servicios Urbanos,11,6,1,4,01/06/2026
Subse Ambiente,3,2,1,0,01/06/2026
Subse Cambio Climatico,10,6,0,4,01/06/2026
Temperley,7,5,1,1,01/06/2026
Turdera,2,2,0,0,01/06/2026
Villa Albertina,6,3,0,3,01/06/2026
Villa Centenario,4,3,0,1,01/06/2026
Villa Fiorito,6,4,0,2,01/06/2026
Villa Lamadrid,4,1,0,3,01/06/2026
Banfield,6,6,0,0,02/06/2026
DM Corte de Pasto,1,1,0,0,02/06/2026
DM Ecopunto,3,2,0,1,02/06/2026
DM Gestion de Plazas,2,2,0,0,02/06/2026
DM Mant. Hidrico,3,3,0,0,02/06/2026
Ingeniero Budge,5,4,1,0,02/06/2026
Llavallol,7,6,0,1,02/06/2026
Lomas,10,5,1,4,02/06/2026
Parque Baron,4,4,0,0,02/06/2026
San jose,8,6,0,2,02/06/2026
Santa Catalina,10,5,0,5,02/06/2026
Santa Marta,3,3,0,0,02/06/2026
Secretaria ,1,0,0,1,02/06/2026
Subse Servicios Urbanos,11,6,1,4,02/06/2026
Subse Ambiente,3,2,1,0,02/06/2026
Subse Cambio Climatico,10,5,0,5,02/06/2026
Temperley,7,7,0,0,02/06/2026
Turdera,2,2,0,0,02/06/2026
Villa Albertina,6,3,0,3,02/06/2026
Villa Centenario,4,3,0,1,02/06/2026
Villa Fiorito,6,4,0,2,02/06/2026
Villa Lamadrid,4,1,0,3,02/06/2026
Banfield,6,5,1,0,03/06/2026
DM Corte de Pasto,1,1,0,0,03/06/2026
DM Ecopunto,3,2,0,1,03/06/2026
DM Gestion de Plazas,2,2,0,0,03/06/2026
DM Mant. Hidrico,3,3,0,0,03/06/2026
Ingeniero Budge,5,5,0,0,03/06/2026
Llavallol,7,6,0,1,03/06/2026
Lomas,10,4,1,5,03/06/2026
Parque Baron,4,4,0,0,03/06/2026
San jose,8,6,0,2,03/06/2026
Santa Catalina,10,5,0,5,03/06/2026
Santa Marta,3,3,0,0,03/06/2026
Secretaria ,1,0,0,1,03/06/2026
Subse Servicios Urbanos,11,6,0,5,03/06/2026
Subse Ambiente,3,2,1,0,03/06/2026
Subse Cambio Climatico,10,6,0,4,03/06/2026
Temperley,7,7,0,0,03/06/2026
Turdera,2,2,0,0,03/06/2026
Villa Albertina,6,3,0,3,03/06/2026
Villa Centenario,4,3,0,1,03/06/2026
Villa Fiorito,6,4,0,2,03/06/2026
Villa Lamadrid,4,1,0,3,03/06/2026
Banfield,6,5,1,0,04/06/2026
DM Corte de Pasto,1,1,0,0,04/06/2026
DM Ecopunto,3,2,0,1,04/06/2026
DM Gestion de Plazas,2,1,1,0,04/06/2026
DM Mant. Hidrico,3,3,0,0,04/06/2026
Ingeniero Budge,5,5,0,0,04/06/2026
Llavallol,7,6,0,1,04/06/2026
Lomas,10,4,1,5,04/06/2026
Parque Baron,4,4,0,0,04/06/2026
San jose,8,6,0,2,04/06/2026
Santa Catalina,10,5,0,5,04/06/2026
Santa Marta,3,3,0,0,04/06/2026
Secretaria ,1,0,0,1,04/06/2026
Subse Servicios Urbanos,11,6,0,5,04/06/2026
Subse Ambiente,3,2,1,0,04/06/2026
Subse Cambio Climatico,10,6,0,4,04/06/2026
Temperley,7,7,0,0,04/06/2026
Turdera,2,2,0,0,04/06/2026
Villa Albertina,6,3,0,3,04/06/2026
Villa Centenario,4,3,0,1,04/06/2026
Villa Fiorito,6,4,0,2,04/06/2026
Villa Lamadrid,4,2,0,2,04/06/2026
Banfield,6,6,0,0,07/06/2026
DM Corte de Pasto,1,0,1,0,07/06/2026
DM Ecopunto,3,2,0,1,07/06/2026
DM Gestion de Plazas,2,1,0,1,07/06/2026
DM Mant. Hidrico,3,3,0,0,07/06/2026
Ingeniero Budge,5,0,5,0,07/06/2026
Llavallol,7,6,0,1,07/06/2026
Lomas,10,4,2,4,07/06/2026
Parque Baron,4,4,0,0,07/06/2026
San jose,8,6,0,2,07/06/2026
Santa Catalina,10,0,6,4,07/06/2026
Santa Marta,3,3,0,0,07/06/2026
Secretaria ,1,0,0,1,07/06/2026
Subse Servicios Urbanos,11,7,0,4,07/06/2026
Subse Ambiente,3,1,2,0,07/06/2026
Subse Cambio Climatico,10,1,6,3,07/06/2026
Temperley,7,6,0,1,07/06/2026
Turdera,2,2,0,0,07/06/2026
Villa Albertina,6,2,1,3,07/06/2026
Villa Centenario,4,2,0,2,07/06/2026
Villa Fiorito,6,4,0,2,07/06/2026
Villa Lamadrid,4,2,0,2,07/06/2026
Banfield,6,6,0,0,08/06/2026
DM Corte de Pasto,1,0,1,0,08/06/2026
DM Ecopunto,3,1,1,1,08/06/2026
DM Gestion de Plazas,2,1,1,0,08/06/2026
DM Mant. Hidrico,3,3,0,0,08/06/2026
Ingeniero Budge,5,4,1,0,08/06/2026
Llavallol,7,6,0,1,08/06/2026
Lomas,10,6,0,4,08/06/2026
Parque Baron,4,4,0,0,08/06/2026
San jose,8,6,0,2,08/06/2026
Santa Catalina,10,6,0,4,08/06/2026
Santa Marta,3,3,0,0,08/06/2026
Secretaria ,1,0,0,1,08/06/2026
Subse Servicios Urbanos,11,7,0,4,08/06/2026
Subse Ambiente,3,1,2,0,08/06/2026
Subse Cambio Climatico,10,1,6,3,08/06/2026
Temperley,7,6,0,1,08/06/2026
Turdera,2,2,0,0,08/06/2026
Villa Albertina,6,2,1,3,08/06/2026
Villa Centenario,4,3,0,1,08/06/2026
Villa Fiorito,6,4,0,2,08/06/2026
Villa Lamadrid,4,2,0,2,08/06/2026
Banfield,6,6,0,0,09/06/2026
DM Corte de Pasto,1,1,0,0,09/06/2026
DM Ecopunto,3,2,0,1,09/06/2026
DM Gestion de Plazas,2,2,0,0,09/06/2026
DM Mant. Hidrico,3,3,0,0,09/06/2026
Ingeniero Budge,5,4,1,0,09/06/2026
Llavallol,7,6,0,1,09/06/2026
Lomas,10,6,1,3,09/06/2026
Parque Baron,4,4,0,0,09/06/2026
San jose,8,5,0,3,09/06/2026
Santa Catalina,10,5,0,5,09/06/2026
Santa Marta,3,3,0,0,09/06/2026
Secretaria ,1,0,0,1,09/06/2026
Subse Servicios Urbanos,11,6,0,5,09/06/2026
Subse Ambiente,3,2,1,0,09/06/2026
Subse Cambio Climatico,10,7,0,3,09/06/2026
Temperley,7,6,0,1,09/06/2026
Turdera,2,2,0,0,09/06/2026
Villa Albertina,6,3,0,3,09/06/2026
Villa Centenario,4,3,0,1,09/06/2026
Villa Fiorito,6,3,1,2,09/06/2026
Villa Lamadrid,4,2,0,2,09/06/2026
Banfield,6,5,0,1,10/06/2026
DM Corte de Pasto,1,1,0,0,10/06/2026
DM Ecopunto,3,2,0,1,10/06/2026
DM Gestion de Plazas,2,2,0,0,10/06/2026
DM Mant. Hidrico,3,3,0,0,10/06/2026
Ingeniero Budge,5,4,1,0,10/06/2026
Llavallol,7,6,0,1,10/06/2026
Lomas,10,6,1,3,10/06/2026
Parque Baron,4,4,0,0,10/06/2026
San jose,8,4,1,3,10/06/2026
Santa Catalina,10,5,1,4,10/06/2026
Santa Marta,3,3,0,0,10/06/2026
Secretaria ,1,0,0,1,10/06/2026
Subse Servicios Urbanos,11,7,0,4,10/06/2026
Subse Ambiente,3,1,2,0,10/06/2026
Subse Cambio Climatico,10,7,0,3,10/06/2026
Temperley,7,7,0,0,10/06/2026
Turdera,2,2,0,0,10/06/2026
Villa Albertina,6,3,0,3,10/06/2026
Villa Centenario,4,3,0,1,10/06/2026
Villa Fiorito,6,3,1,2,10/06/2026
Villa Lamadrid,4,2,0,2,10/06/2026
Banfield,6,5,0,1,11/06/2026
DM Corte de Pasto,1,1,0,0,11/06/2026
DM Ecopunto,3,1,1,1,11/06/2026
DM Gestion de Plazas,2,2,0,0,11/06/2026
DM Mant. Hidrico,3,3,0,0,11/06/2026
Ingeniero Budge,5,4,1,0,11/06/2026
Llavallol,7,5,0,2,11/06/2026
Lomas,10,6,1,3,11/06/2026
Parque Baron,4,4,0,0,11/06/2026
San jose,8,5,1,2,11/06/2026
Santa Catalina,10,5,2,3,11/06/2026
Santa Marta,3,3,0,0,11/06/2026
Secretaria ,1,0,0,1,11/06/2026
Subse Servicios Urbanos,11,7,0,4,11/06/2026
Subse Ambiente,3,2,1,0,11/06/2026
Subse Cambio Climatico,10,8,0,2,11/06/2026
Temperley,7,7,0,0,11/06/2026
Turdera,2,2,0,0,11/06/2026
Villa Albertina,6,2,1,3,11/06/2026
Villa Centenario,4,3,0,1,11/06/2026
Villa Fiorito,6,4,1,1,11/06/2026
Villa Lamadrid,4,2,0,2,11/06/2026
Banfield,6,5,0,1,15/06/2026
DM Corte de Pasto,1,1,0,0,15/06/2026
DM Ecopunto,3,2,0,1,15/06/2026
DM Gestion de Plazas,2,2,0,0,15/06/2026
DM Mant. Hidrico,3,3,0,0,15/06/2026
Ingeniero Budge,5,5,0,0,15/06/2026
Llavallol,7,4,0,3,15/06/2026
Lomas,10,5,1,4,15/06/2026
Parque Baron,4,4,0,0,15/06/2026
San jose,8,6,0,2,15/06/2026
Santa Catalina,10,5,1,4,15/06/2026
Santa Marta,3,3,0,0,15/06/2026
Secretaria ,1,0,0,1,15/06/2026
Subse Servicios Urbanos,11,7,0,4,15/06/2026
Subse Ambiente,3,1,2,0,15/06/2026
Subse Cambio Climatico,10,7,0,3,15/06/2026
Temperley,7,7,0,0,15/06/2026
Turdera,2,2,0,0,15/06/2026
Villa Albertina,6,3,0,3,15/06/2026
Villa Centenario,4,3,0,1,15/06/2026
Villa Fiorito,6,5,0,1,15/06/2026
Villa Lamadrid,4,2,0,2,15/06/2026
Banfield,6,5,0,1,16/06/2026
DM Corte de Pasto,1,1,0,0,16/06/2026
DM Ecopunto,3,2,0,1,16/06/2026
DM Gestion de Plazas,2,1,1,0,16/06/2026
DM Mant. Hidrico,3,3,0,0,16/06/2026
Ingeniero Budge,5,5,0,0,16/06/2026
Llavallol,7,4,0,3,16/06/2026
Lomas,10,6,1,3,16/06/2026
Parque Baron,4,4,0,0,16/06/2026
San jose,8,6,0,2,16/06/2026
Santa Catalina,10,6,0,4,16/06/2026
Santa Marta,3,2,0,1,16/06/2026
Secretaria ,1,0,0,1,16/06/2026
Subse Servicios Urbanos,11,7,0,4,16/06/2026
Subse Ambiente,3,2,1,0,16/06/2026
Subse Cambio Climatico,10,7,0,3,16/06/2026
Temperley,7,7,0,0,16/06/2026
Turdera,2,2,0,0,16/06/2026
Villa Albertina,6,3,0,3,16/06/2026
Villa Centenario,4,3,0,1,16/06/2026
Villa Fiorito,6,5,0,1,16/06/2026
Villa Lamadrid,4,2,0,2,16/06/2026
Banfield,6,5,0,1,17/06/2026
DM Corte de Pasto,1,1,0,0,17/06/2026
DM Ecopunto,3,2,0,1,17/06/2026
DM Gestion de Plazas,2,1,1,0,17/06/2026
DM Mant. Hidrico,3,3,0,0,17/06/2026
Ingeniero Budge,5,5,0,0,17/06/2026
Llavallol,7,4,0,3,17/06/2026
Lomas,10,6,1,3,17/06/2026
Parque Baron,4,4,0,0,17/06/2026
San jose,8,6,0,2,17/06/2026
Santa Catalina,10,6,0,4,17/06/2026
Santa Marta,3,2,0,1,17/06/2026
Secretaria ,1,0,0,1,17/06/2026
Subse Servicios Urbanos,11,7,0,4,17/06/2026
Subse Ambiente,3,3,0,0,17/06/2026
Subse Cambio Climatico,10,7,0,3,17/06/2026
Temperley,7,6,1,0,17/06/2026
Turdera,2,2,0,0,17/06/2026
Villa Albertina,6,3,0,3,17/06/2026
Villa Centenario,4,3,0,1,17/06/2026
Villa Fiorito,6,5,0,1,17/06/2026
Villa Lamadrid,4,2,0,2,17/06/2026
Banfield,6,5,0,1,18/06/2026
DM Corte de Pasto,1,1,0,0,18/06/2026
DM Ecopunto,3,2,0,1,18/06/2026
DM Gestion de Plazas,2,2,0,0,18/06/2026
DM Mant. Hidrico,3,3,0,0,18/06/2026
Ingeniero Budge,5,4,1,0,18/06/2026
Llavallol,7,6,0,1,18/06/2026
Lomas,10,6,1,3,18/06/2026
Parque Baron,4,4,0,0,18/06/2026
San jose,8,4,2,2,18/06/2026
Santa Catalina,10,7,0,3,18/06/2026
Santa Marta,3,2,0,1,18/06/2026
Secretaria ,1,0,0,1,18/06/2026
Subse Servicios Urbanos,11,7,0,4,18/06/2026
Subse Ambiente,3,2,1,0,18/06/2026
Subse Cambio Climatico,10,7,1,2,18/06/2026
Temperley,7,6,1,0,18/06/2026
Turdera,2,2,0,0,18/06/2026
Villa Albertina,6,2,1,3,18/06/2026
Villa Centenario,4,2,0,2,18/06/2026
Villa Fiorito,6,5,0,1,18/06/2026
Villa Lamadrid,4,2,0,2,18/06/2026
Banfield,6,4,0,2,21/06/2026
DM Corte de Pasto,1,1,0,0,21/06/2026
DM Ecopunto,3,2,0,1,21/06/2026
DM Gestion de Plazas,2,2,0,0,21/06/2026
DM Mant. Hidrico,3,3,0,0,21/06/2026
Ingeniero Budge,5,5,0,0,21/06/2026
Llavallol,7,5,1,1,21/06/2026
Lomas,10,6,1,3,21/06/2026
Parque Baron,4,4,0,0,21/06/2026
San jose,8,6,0,2,21/06/2026
Santa Catalina,10,5,1,4,21/06/2026
Santa Marta,3,3,0,0,21/06/2026
Secretaria ,1,0,0,1,21/06/2026
Subse Servicios Urbanos,11,5,1,5,21/06/2026
Subse Ambiente,3,1,2,0,21/06/2026
Subse Cambio Climatico,10,7,1,2,21/06/2026
Temperley,7,6,1,0,21/06/2026
Turdera,2,2,0,0,21/06/2026
Villa Albertina,6,0,3,3,21/06/2026
Villa Centenario,4,1,1,2,21/06/2026
Villa Fiorito,6,5,0,1,21/06/2026
Villa Lamadrid,4,1,1,2,21/06/2026
Banfield,6,4,0,2,22/06/2026
DM Corte de Pasto,1,1,0,0,22/06/2026
DM Ecopunto,3,2,0,1,22/06/2026
DM Gestion de Plazas,2,2,0,0,22/06/2026
DM Mant. Hidrico,3,3,0,0,22/06/2026
Ingeniero Budge,5,5,0,0,22/06/2026
Llavallol,7,6,0,1,22/06/2026
Lomas,10,5,1,4,22/06/2026
Parque Baron,4,4,0,0,22/06/2026
San jose,8,6,0,2,22/06/2026
Santa Catalina,10,5,1,4,22/06/2026
Santa Marta,3,3,0,0,22/06/2026
Secretaria ,1,0,0,1,22/06/2026
Subse Servicios Urbanos,11,5,0,6,22/06/2026
Subse Ambiente,3,2,1,0,22/06/2026
Subse Cambio Climatico,10,8,0,2,22/06/2026
Temperley,7,7,0,0,22/06/2026
Turdera,2,2,0,0,22/06/2026
Villa Albertina,6,1,2,3,22/06/2026
Villa Centenario,4,2,0,2,22/06/2026
Villa Fiorito,6,4,0,2,22/06/2026
Villa Lamadrid,4,1,1,2,22/06/2026
Banfield,6,3,1,2,23/06/2026
DM Corte de Pasto,1,1,0,0,23/06/2026
DM Ecopunto,3,2,0,1,23/06/2026
DM Gestion de Plazas,2,1,0,1,23/06/2026
DM Mant. Hidrico,3,3,0,0,23/06/2026
Ingeniero Budge,5,4,1,0,23/06/2026
Llavallol,7,6,0,1,23/06/2026
Lomas,10,5,1,4,23/06/2026
Parque Baron,4,4,0,0,23/06/2026
San jose,8,5,1,2,23/06/2026
Santa Catalina,10,6,1,3,23/06/2026
Santa Marta,3,3,0,0,23/06/2026
Secretaria ,1,0,0,1,23/06/2026
Subse Servicios Urbanos,11,4,0,7,23/06/2026
Subse Ambiente,3,1,2,0,23/06/2026
Subse Cambio Climatico,10,8,0,2,23/06/2026
Temperley,7,7,0,0,23/06/2026
Turdera,2,2,0,0,23/06/2026
Villa Albertina,6,3,0,3,23/06/2026
Villa Centenario,4,2,0,2,23/06/2026
Villa Fiorito,6,4,1,1,23/06/2026
Villa Lamadrid,4,1,1,2,23/06/2026
